,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
71,Pangody,90,RU,9/29/19 14:39,80,65.85,74.49,32.53,5.21
72,Itarema,74,BR,9/29/19 14:39,39,-2.92,-39.92,92.11,15.32
73,Simoes,8,BR,9/29/19 14:39,19,-7.6,-40.82,103.99,6.38
74,Sistranda,75,NO,9/29/19 14:39,81,63.73,8.83,50,17.22
75,College,90,US,9/29/19 14:39,70,64.86,-147.8,46.4,6.93
76,Nouakchott,40,MR,9/29/19 14:39,66,18.08,-15.98,87.8,13.87
77,Thompson,75,CA,9/29/19 14:39,92,55.74,-97.86,30.2,6.22
78,Vao,100,EE,9/29/19 14:39,91,59.1,26.19,54.31,5.61
79,Shingu,95,JP,9/29/19 14:39,90,33.72,135.99,66.37,2.77
80,Khatanga,49,RU,9/29/19 14:39,79,71.98,102.47,26.05,5.57
81,Dalbandin,0,PK,9/29/19 14:39,8,28.9,64.41,87.07,15.14
82,Longyearbyen,75,NO,9/29/19 14:39,64,78.22,15.63,33.8,13.87
83,Kapaa,20,US,9/29/19 14:40,78,22.08,-159.32,80.6,12.75
84,Kayes,37,ML,9/29/19 14:40,29,14.44,-11.44,101.29,3
85,Kuching,75,MY,9/29/19 14:40,94,1.56,110.34,78.8,3.36
86,Viseu de Jos,100,RO,9/29/19 14:40,46,47.73,24.37,69.8,5.82
87,Avarua,82,CK,9/29/19 14:40,83,-21.21,-159.78,69.8,9.17
88,Sorland,20,NO,9/29/19 14:40,75,67.67,12.69,44.6,19.46
89,Mercedes,0,UY,9/29/19 14:40,53,-33.25,-58.03,77,7
90,Senno,90,RU,9/29/19 14:40,87,57.76,27.95,55.4,6.71
91,Coihaique,75,CL,9/29/19 14:40,80,-45.58,-72.07,39.2,8.05
92,Horconcitos,84,PA,9/29/19 14:40,69,8.47,-81.8,80.41,1.66
93,Bonavista,100,CA,9/29/19 14:40,83,48.65,-53.11,51.01,1.99
94,Atuona,32,PF,9/29/19 14:40,80,-9.8,-139.03,79.15,19.44
95,Sibolga,100,ID,9/29/19 14:40,73,1.74,98.78,81.67,4.09
96,Fairbanks,90,US,9/29/19 14:35,70,64.84,-147.72,46,6.93
97,Yorosso,0,ML,9/29/19 14:40,36,12.35,-4.78,95.17,1.14
98,Codrington,32,AU,9/29/19 14:40,93,-28.95,153.24,59,8.05
99,Pekan,75,MY,9/29/19 14:40,88,3.49,103.39,80.6,3.36
100,Sitka,5,US,9/29/19 14:40,87,37.17,-99.65,75,18.99
101,Vostok,38,RU,9/29/19 14:40,81,46.45,135.83,39.91,3.24
102,Lichuan,43,CN,9/29/19 14:40,64,30.3,108.94,65.29,5.7
103,Qaanaaq,24,GL,9/29/19 14:40,60,77.48,-69.36,33.25,9.62
104,Tiarei,0,PF,9/29/19 14:40,83,-17.53,-149.33,75.2,3.36
105,Bluff,61,AU,9/29/19 14:40,56,-23.58,149.07,66.55,2.44
106,Laviana,75,ES,9/29/19 14:40,57,43.23,-5.53,79,17.22
107,Guerrero Negro,32,MX,9/29/19 14:40,83,27.97,-114.04,67.27,17.05
108,Okmulgee,90,US,9/29/19 14:40,94,35.62,-95.96,79,14.99
109,Kanakapura,40,IN,9/29/19 14:40,65,12.54,77.42,78.8,4.7
110,Motygino,100,RU,9/29/19 14:40,89,58.18,94.69,29.11,1.63
111,Kulhudhuffushi,100,MV,9/29/19 14:40,86,6.62,73.07,78.07,2.55
112,Kabalo,58,CD,9/29/19 14:40,53,-6.05,26.92,87.07,5.95
113,Martapura,20,ID,9/29/19 14:40,83,-3.41,114.85,80.6,3.36
114,Darhan,0,MN,9/29/19 14:40,85,49.49,105.92,46.21,3.76
115,Rocha,2,UY,9/29/19 14:40,70,-34.48,-54.34,68.53,9.57
116,Pestovo,90,RU,9/29/19 14:40,81,55.36,37.98,50,6.71
117,Filiatra,20,GR,9/29/19 14:40,57,37.16,21.59,80.6,6.93
118,Lata,79,IN,9/29/19 14:40,93,30.78,78.62,37.39,0.85
119,Sao Joao da Barra,75,BR,9/29/19 14:40,69,-21.64,-41.05,77,5.48
120,Rawson,33,AR,9/29/19 14:40,27,-43.3,-65.11,62.41,21.05
121,Margate,40,AU,9/29/19 14:41,52,-43.03,147.26,46.4,12.75
122,Dikson,93,RU,9/29/19 14:41,88,73.51,80.55,31.81,1.9
123,Nanortalik,89,GL,9/29/19 14:41,70,60.14,-45.24,41.89,4.79
124,Pacific Grove,0,US,9/29/19 14:41,87,36.62,-121.92,51.01,9.86
125,Imeni Stepana Razina,64,RU,9/29/19 14:41,82,54.89,44.3,45.49,6.96
126,Petropavlovsk-Kamchatskiy,40,RU,9/29/19 14:41,100,53.05,158.65,42.8,2.24
127,Hoa Binh,0,VN,9/29/19 14:41,69,20.81,105.34,80.6,2.24
128,Sola,73,TZ,9/29/19 14:41,36,-3.17,33.8,82.93,5.48
129,Tiksi,10,RU,9/29/19 14:41,92,71.64,128.87,25.15,4.65
130,Lakes Entrance,6,AU,9/29/19 14:41,83,-37.88,147.99,43,10.78
131,Hermanus,100,ZA,9/29/19 14:41,70,-34.42,19.24,64.99,11.99
132,Yulara,81,AU,9/29/19 14:41,12,-25.24,130.99,86,9.17
133,Tautira,0,PF,9/29/19 14:41,83,-17.73,-149.15,75.2,3.36
134,Agirish,100,RU,9/29/19 14:41,94,61.92,63.02,37.39,8.08
135,Bensonville,75,LR,9/29/19 14:41,83,6.45,-10.61,84.2,5.82
136,Butaritari,67,KI,9/29/19 14:41,62,3.07,172.79,85.63,8.01
137,Lavras,73,BR,9/29/19 14:41,62,-21.24,-45,74.47,2.64
138,Tilichiki,71,RU,9/29/19 14:41,75,60.47,166.1,30.19,1.83
139,Vila Franca do Campo,40,PT,9/29/19 14:41,83,37.72,-25.43,75.2,17.22
140,Saint Anthony,90,US,9/29/19 14:41,86,43.97,-111.68,37.4,9.17
141,Mar del Plata,0,AR,9/29/19 14:41,22,-46.43,-67.52,53.59,39.06
142,Quesnel,1,CA,9/29/19 14:39,74,52.98,-122.49,28.4,3.36
143,Hobart,40,AU,9/29/19 14:40,52,-42.88,147.33,46.4,12.75
144,New Norfolk,40,AU,9/29/19 14:41,52,-42.78,147.06,46.4,12.75
145,Bethel,90,US,9/29/19 14:41,100,60.79,-161.76,46.4,5.82
146,Ketchikan,1,US,9/29/19 14:41,93,55.34,-131.65,44.6,5.82
147,Bondoukou,64,CI,9/29/19 14:41,69,8.04,-2.8,84.91,2.89
148,Tuatapere,91,NZ,9/29/19 14:41,81,-46.13,167.69,50,14
149,Morehead,1,US,9/29/19 14:41,69,38.18,-83.43,81,3.36
150,Anadyr,40,RU,9/29/19 14:41,89,64.73,177.51,32,4.47
151,Baghdad,0,IQ,9/29/19 14:41,11,33.3,44.38,102.2,14.99
152,Evensk,100,RU,9/29/19 14:41,92,61.92,159.24,31.45,5.64
153,Laguna,75,BZ,9/29/19 14:41,88,16.17,-88.94,82.4,6.93
154,Talnakh,75,RU,9/29/19 14:41,98,69.49,88.39,32,6.71
155,Sterling,1,US,9/29/19 14:40,61,39,-77.4,81,9.17
156,Tamala,62,RU,9/29/19 14:41,65,52.54,43.26,51.07,8.93
157,Riyadh,0,SA,9/29/19 14:41,18,24.63,46.72,102.2,3.36
158,Hilo,90,US,9/29/19 14:41,83,19.71,-155.08,75.2,6.93
159,Sao Filipe,18,CV,9/29/19 14:41,78,14.9,-24.5,78.61,10.56
160,Never,0,RU,9/29/19 14:41,61,53.98,124.16,31.45,3.91
161,Magadi,40,IN,9/29/19 14:41,65,12.96,77.22,78.8,4.7
162,Kavieng,39,PG,9/29/19 14:41,69,-2.57,150.8,83.65,4.36
163,San Luis,0,AR,9/29/19 14:41,25,-33.3,-66.34,88.69,26.66
164,Lucapa,100,AO,9/29/19 14:42,38,-8.42,20.74,87.07,4.34
165,Luderitz,5,NA,9/29/19 14:42,91,-26.65,15.16,56.47,22.7
166,Tha Bo,11,TH,9/29/19 14:42,88,17.85,102.58,80.6,2.24
167,Roald,75,NO,9/29/19 14:42,93,62.58,6.12,52,8.05
168,Purpe,0,RU,9/29/19 14:42,90,64.48,76.69,24.01,2.35
169,Leningradskiy,50,RU,9/29/19 14:42,73,69.38,178.42,32.71,14.65
170,Norman Wells,20,CA,9/29/19 14:42,69,65.28,-126.83,35.6,9.17
171,Miraflores,0,PE,9/29/19 14:42,42,-16.39,-71.52,64.4,2.24
172,Sabzevar,0,IR,9/29/19 14:42,60,36.21,57.68,60.97,11.48
173,Saldanha,0,PT,9/29/19 14:42,27,41.42,-6.55,79.87,5.82
174,Mae Sai,0,MM,9/29/19 14:42,88,20.44,99.89,75.2,3.36
175,Nhulunbuy,79,AU,9/29/19 14:42,83,-12.18,136.78,73.4,2.24
176,Mana,54,NG,9/29/19 14:42,25,13.03,5.27,99.31,5.55
177,San Patricio,0,PY,9/29/19 14:42,34,-26.98,-56.83,88.69,5.08
178,Cascavel,0,BR,9/29/19 14:42,34,-24.96,-53.44,82.4,23.04
179,Concarneau,90,FR,9/29/19 14:42,72,47.88,-3.92,66.2,19.46
180,Awbari,0,LY,9/29/19 14:42,16,26.59,12.77,92.83,11.36
181,Abnub,0,EG,9/29/19 14:42,21,27.27,31.15,92.11,16.22
182,Kodiak,90,US,9/29/19 14:42,94,39.95,-94.76,75,8.05
183,Los Llanos de Aridane,20,ES,9/29/19 14:42,69,28.66,-17.92,77,9.17
184,Igunga,79,TZ,9/29/19 14:42,22,-4.28,33.88,89.23,2.08
185,Marystown,100,CA,9/29/19 14:37,94,47.17,-55.16,52.33,13.65
186,Road Town,1,VG,9/29/19 14:42,70,18.42,-64.62,84.2,5.82
187,Gat,40,SN,9/29/19 14:42,62,14.69,-16.54,87.8,14.99
188,Mapimi,5,MX,9/29/19 14:42,47,25.82,-103.85,80.6,8.05
189,Fomboni,18,KM,9/29/19 14:42,82,-12.28,43.74,79.69,9.93
190,Campos Belos,33,BR,9/29/19 14:42,22,-13.04,-46.77,101.11,4.43
191,Fort Frances,90,CA,9/29/19 14:40,70,48.61,-93.4,48,6.93
192,Namibe,0,AO,9/29/19 14:42,61,-15.19,12.15,77,16.11
193,Saint George,20,GR,9/29/19 14:42,45,39.45,22.34,86,8.05
194,Namatanai,100,PG,9/29/19 14:42,85,-3.66,152.44,78.79,11.03
195,Cabra,0,ES,9/29/19 14:42,22,37.47,-4.43,91.4,5.82
196,Mahebourg,20,MU,9/29/19 14:42,73,-20.41,57.7,75.2,11.41
197,Acapulco,90,MX,9/29/19 14:37,94,16.86,-99.88,77,5.82
198,Morden,90,CA,9/29/19 14:42,87,49.19,-98.1,42.8,11.41
199,Cap-aux-Meules,90,CA,9/29/19 14:42,93,47.38,-61.86,53.6,20.8
200,Mayumba,90,GA,9/29/19 14:42,83,-3.44,10.65,76.63,13.15
201,Calama,0,CL,9/29/19 14:42,16,-22.46,-68.93,66,9.17
202,Tabou,45,CI,9/29/19 14:42,73,4.42,-7.36,83.29,6.6
203,Meulaboh,100,ID,9/29/19 14:42,84,4.14,96.13,78.25,8.19
204,Cidreira,11,BR,9/29/19 14:42,65,-30.17,-50.22,71.05,13.22
205,Broken Hill,100,AU,9/29/19 14:42,38,-31.97,141.45,59,5.82
206,Znamenskoye,0,RU,9/29/19 14:42,89,57.13,73.82,31.45,8.66
207,Mashpee,90,US,9/29/19 14:42,64,41.65,-70.48,73.99,9.17
208,Port Elizabeth,1,US,9/29/19 14:42,69,39.31,-74.98,80.01,16.11
209,Leh,88,IN,9/29/19 14:42,39,34.16,77.58,43.15,4.59
210,Bathsheba,20,BB,9/29/19 14:42,66,13.22,-59.52,87.8,11.41
211,Saint-Augustin,20,CA,9/29/19 14:43,61,45.63,-73.98,53.01,4.7
212,Yellowknife,75,CA,9/29/19 14:38,69,62.45,-114.38,39.2,5.82
213,Hualmay,36,PE,9/29/19 14:43,90,-11.1,-77.61,60.79,10.83
214,Iqaluit,90,CA,9/29/19 14:43,93,63.75,-68.52,37.4,2.24
215,Mnogovershinnyy,0,RU,9/29/19 14:43,76,53.94,139.92,33.61,15.84
216,Jaciara,67,BR,9/29/19 14:43,34,-15.95,-54.98,95.71,4.59
217,Belaya Gora,100,RU,9/29/19 14:43,81,68.54,146.19,26.41,2.75
218,Quatre Cocos,20,MU,9/29/19 14:43,73,-20.21,57.76,75.2,11.41
219,Kaitangata,99,NZ,9/29/19 14:43,81,-46.28,169.85,48.99,1.01
220,Nikolskoye,90,RU,9/29/19 14:43,93,59.7,30.79,51.01,6.71
221,Pisco,90,PE,9/29/19 14:43,30,-13.71,-76.2,71.6,3.36
222,San Cristobal,27,HN,9/29/19 14:43,70,14.68,-86.92,78.43,2.82
223,Kyzyl-Suu,84,KG,9/29/19 14:43,65,42.34,78,63.49,3.96
224,Hopelchen,20,MX,9/29/19 14:43,88,19.77,-89.85,82.4,9.17
225,Lebu,79,ET,9/29/19 14:43,88,8.96,38.73,61.15,5.53
226,Ciudad Bolivar,91,VE,9/29/19 14:43,57,8.12,-63.55,89.05,5.35
227,Denia,0,ES,9/29/19 14:43,58,38.84,0.11,87.01,10.58
228,North Battleford,40,CA,9/29/19 14:43,59,52.78,-108.3,36,11.41
229,Yamada,75,JP,9/29/19 14:43,94,36.58,137.08,73,2.24
230,Santiago,100,PH,9/29/19 14:43,96,16.69,121.54,73.03,0.78
231,Tateyama,100,JP,9/29/19 14:43,88,36.66,137.31,73,1.9
232,Santa Cruz,80,BR,9/29/19 14:42,29,-6.22,-36.02,93.01,9.66
233,Polaniec,0,PL,9/29/19 14:43,59,50.43,21.28,69.01,16.11
234,Waitati,100,NZ,9/29/19 14:43,92,-45.75,170.57,46.99,1.99
235,Pudozh,53,RU,9/29/19 14:43,88,61.81,36.54,44.59,6.89
236,Caravelas,100,BR,9/29/19 14:43,80,-17.73,-39.27,74.11,8.9
237,Pedra Branca,83,BR,9/29/19 14:43,35,-5.46,-39.72,91.03,8.79
238,Yafran,0,LY,9/29/19 14:43,32,32.06,12.53,82.39,10.29
239,Lima,90,PE,9/29/19 14:43,88,-12.06,-77.04,62.6,9.17
240,Cayenne,75,GF,9/29/19 14:43,62,4.94,-52.33,87.8,11.41
241,Olinda,90,AU,9/29/19 14:43,81,-37.84,145.39,53.01,8.05
242,Segezha,100,RU,9/29/19 14:43,84,63.74,34.31,46.57,7.02
243,Vaasa,75,FI,9/29/19 14:43,81,63.1,21.62,52,5.82
244,Jishou,0,CN,9/29/19 14:43,56,28.26,109.7,68.35,1.36
245,Pandan,100,PH,9/29/19 14:43,78,11.72,122.09,82.21,12.35
246,Hambantota,20,LK,9/29/19 14:43,100,6.12,81.12,78.8,1.12
247,Antigua Ocotepeque,75,HN,9/29/19 14:43,100,14.4,-89.2,73,4.92
248,Kahului,1,US,9/29/19 14:43,78,20.89,-156.47,78.8,10.29
249,Alofi,26,NU,9/29/19 14:43,100,-19.06,-169.92,71.6,10.29
250,Paros,0,FR,9/29/19 14:43,35,44.39,3.51,70.69,9.62
251,Komsomolskiy,100,RU,9/29/19 14:43,99,67.55,63.78,33.43,5.84
252,Levelland,90,US,9/29/19 14:39,83,33.59,-102.38,73.99,13.87
253,Baherden,0,TM,9/29/19 14:43,58,38.44,57.43,59.53,3.38
254,Esperance,0,AU,9/29/19 14:43,87,-33.86,121.89,53.6,10.29
255,Sala Consilina,0,IT,9/29/19 14:43,63,40.4,15.6,71.41,6.51
256,Lumsden,90,CA,9/29/19 14:44,94,50.65,-104.86,36,18.34
257,Banda Aceh,100,ID,9/29/19 14:40,79,5.56,95.32,81.49,8.41
258,Flinders,90,AU,9/29/19 14:44,82,-34.58,150.85,59,1.74
259,Issoire,0,FR,9/29/19 14:44,29,45.54,3.25,78.8,21.92
260,Aykhal,90,RU,9/29/19 14:44,86,65.95,111.51,28.4,4.47
261,Kirakira,100,SB,9/29/19 14:44,83,-10.46,161.92,79.51,5.66
262,Nisia Floresta,40,BR,9/29/19 14:44,62,-6.09,-35.21,86,19.46
263,Tonantins,65,BR,9/29/19 14:44,46,-2.86,-67.77,93.37,3.15
264,Muros,90,ES,9/29/19 14:44,100,42.77,-9.06,68,10.29
265,Kruisfontein,100,ZA,9/29/19 14:44,96,-34,24.73,58.09,24.32
266,Portland,20,US,9/29/19 14:42,52,43.66,-70.25,69.01,11.41
267,Mount Isa,0,AU,9/29/19 14:44,23,-20.73,139.49,75.2,8.05
268,Amahai,40,ID,9/29/19 14:44,88,-3.31,129,76.45,8.63
269,Hithadhoo,21,MV,9/29/19 14:44,72,-0.6,73.08,81.49,6.49
270,Harrisonville,1,US,9/29/19 14:40,83,38.65,-94.35,77,9.17
271,Rundu,91,NA,9/29/19 14:44,3,-17.91,19.77,92.47,8.7
272,Kidal,35,ML,9/29/19 14:44,6,18.44,1.41,105.97,5.88
273,Castro,40,CL,9/29/19 14:44,76,-42.48,-73.76,48.2,12.75
274,Boyolangu,59,ID,9/29/19 14:44,90,-8.09,111.9,67.81,5.55
275,Presidencia Roque Saenz Pena,0,AR,9/29/19 14:41,22,-26.79,-60.44,94.27,10.94
276,Nuuk,83,GL,9/29/19 14:44,61,64.17,-51.74,48.2,10.29
277,Ojinaga,40,US,9/29/19 14:44,61,29.56,-104.41,78.8,11.41
278,Bela Vista do Paraiso,0,BR,9/29/19 14:44,41,-23,-51.19,78.8,4.7
279,Gorele,40,TR,9/29/19 14:44,73,41.03,39,70,5.82
280,Pallisa,7,UG,9/29/19 14:44,64,1.17,33.71,80.41,2.64
281,Teguise,20,ES,9/29/19 14:44,88,29.06,-13.56,75.2,18.34
282,Novyy Urengoy,89,RU,9/29/19 14:44,78,66.08,76.63,32.17,4.18
283,Arraial do Cabo,90,BR,9/29/19 14:44,77,-22.97,-42.02,71.6,6.93
284,Humberto de Campos,100,BR,9/29/19 14:40,62,-2.6,-43.46,84.19,8.81
285,Thinadhoo,100,MV,9/29/19 14:44,71,0.53,72.93,81.85,9.1
286,Port Blair,0,IN,9/29/19 14:44,83,11.67,92.75,82.39,8.55
287,Shimoda,100,JP,9/29/19 14:44,92,34.7,138.93,73.99,3
288,Kropotkin,100,RU,9/29/19 14:44,50,45.43,40.58,64.75,5.32
289,Naze,75,NG,9/29/19 14:44,66,5.43,7.07,84.2,3.36
290,Viedma,100,AR,9/29/19 14:44,24,-40.81,-62.99,72.31,6.91
291,Port-Cartier,20,CA,9/29/19 14:44,50,50.03,-66.88,53.01,13.87
292,Katakwi,73,UG,9/29/19 14:44,62,1.91,33.96,79.33,2.64
293,Zonguldak,0,TR,9/29/19 14:44,64,41.25,31.83,72,10.29
294,Mahibadhoo,100,MV,9/29/19 14:44,71,3.78,72.97,81.67,4.56
295,Sydney,75,AU,9/29/19 14:44,87,-33.85,151.22,60.01,9.17
296,New Iberia,1,US,9/29/19 14:40,94,30,-91.82,82.99,8.05
297,Port Augusta,1,AU,9/29/19 14:44,82,-32.49,137.76,55.4,9.17
298,Gorontalo,100,ID,9/29/19 14:44,89,0.54,123.06,73.75,4.21
299,Geraldton,90,CA,9/29/19 14:44,52,49.72,-86.95,37.4,3.36
300,Isangel,81,VU,9/29/19 14:44,86,-19.55,169.27,74.11,13.67
301,Labuhan,26,ID,9/29/19 14:44,84,-2.54,115.51,75.01,2.06
302,Xihe,35,CN,9/29/19 14:44,91,34.02,105.29,53.41,4.16
303,Piopio,8,CL,9/29/19 14:45,71,-42.79,-73.57,50,12.75
304,Buenos Aires,0,AR,9/29/19 14:40,64,-34.61,-58.44,78.01,8.05
305,Ribeira Grande,40,PT,9/29/19 14:45,88,38.52,-28.7,73.4,12.75
306,Saint-Lo,75,FR,9/29/19 14:45,77,49.12,-1.09,64.4,29.97
307,Lompoc,1,US,9/29/19 14:45,100,34.64,-120.46,53.01,13.11
308,Baykit,20,RU,9/29/19 14:45,91,61.68,96.39,23.71,1.19
309,Ellisras,0,ZA,9/29/19 14:45,4,-23.67,27.74,93.01,12.19
310,Alexandria,29,RO,9/29/19 14:43,31,43.97,25.33,82.99,1.01
311,Bozoum,100,CF,9/29/19 14:45,86,6.31,16.38,75.73,2.48
312,Rochegda,54,RU,9/29/19 14:45,79,62.67,43.41,41.35,6.62
313,Santa Maria,40,BR,9/29/19 14:42,54,-16.02,-48.01,84.99,5.82
314,Srednekolymsk,100,RU,9/29/19 14:45,86,67.46,153.71,26.41,3.69
315,Houma,0,CN,9/29/19 14:42,51,35.63,111.36,71.41,7.58
316,Manyana,90,AU,9/29/19 14:45,82,-35.26,150.51,59,4.21
317,Pong,90,CM,9/29/19 14:45,86,4.23,10.63,78.61,4.88
318,Manggar,37,ID,9/29/19 14:45,89,-2.88,108.27,75.19,2.55
319,Kamenka,100,MD,9/29/19 14:45,67,48.03,28.7,64,7.31
320,Coquimbo,90,CL,9/29/19 14:45,93,-29.95,-71.34,53.6,9.17
321,Kouqian,0,CN,9/29/19 14:45,82,43.66,126.5,53.77,5.61
322,Cherepovets,20,RU,9/29/19 14:45,76,59.13,37.92,48.2,6.71
323,Nambucca Heads,90,AU,9/29/19 14:45,77,-30.64,152.99,64.4,5.82
324,Calvinia,86,ZA,9/29/19 14:45,67,-31.47,19.78,60.07,19.26
325,Ewa Beach,20,US,9/29/19 14:45,69,21.32,-158.01,80.6,5.82
326,Shankargarh,99,IN,9/29/19 14:45,88,25.19,81.61,75.55,3.96
327,Auki,72,NG,9/29/19 14:45,44,12.18,6.51,91.03,9.17
328,Skjervoy,75,NO,9/29/19 14:45,64,70.03,20.97,39.2,11.41
329,Karonga,99,MW,9/29/19 14:45,51,-9.94,33.93,73.93,6.69
330,Tual,100,ID,9/29/19 14:45,87,-5.67,132.75,78.43,20.71
331,Provideniya,83,RU,9/29/19 14:45,93,64.42,-173.23,37.03,3.96
332,Nouadhibou,5,MR,9/29/19 14:45,57,20.93,-17.03,78.8,17.22
333,Koulamoutou,62,GA,9/29/19 14:45,91,-1.13,12.47,76.27,5.41
